src/components/profile/projects.tsx(1062,14): error TS17008: JSX element 'Form' has no corresponding closing tag.
../server/routes-broken.ts(1889,63): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1891,1): error TS1127: Invalid character.
../server/routes-broken.ts(1891,2): error TS1127: Invalid character.
../server/routes-broken.ts(1891,4): error TS1127: Invalid character.
../server/routes-broken.ts(1891,7): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1891,14): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1893,1): error TS1127: Invalid character.
../server/routes-broken.ts(1893,2): error TS1127: Invalid character.
../server/routes-broken.ts(1893,3): error TS1127: Invalid character.
../server/routes-broken.ts(1893,5): error TS1005: ';' expected.
../server/routes-broken.ts(1893,6): error TS1127: Invalid character.
../server/routes-broken.ts(1893,7): error TS1127: Invalid character.
../server/routes-broken.ts(1893,9): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1893,17): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,1): error TS1435: Unknown keyword or identifier. Did you mean 'this'?
../server/routes-broken.ts(1894,6): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,11): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,21): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,26): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,36): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,52): error TS1005: '(' expected.
../server/routes-broken.ts(1894,63): error TS1005: ')' expected.
../server/routes-broken.ts(1894,68): error TS1435: Unknown keyword or identifier. Did you mean 'static'?
../server/routes-broken.ts(1894,78): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,87): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,91): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,121): error TS1005: ';' expected.
../server/routes-broken.ts(1894,132): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,138): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,144): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,151): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,161): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,164): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,174): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,184): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,189): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,193): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1894,209): error TS1005: ';' expected.
../server/routes-broken.ts(1894,216): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1896,1): error TS1003: Identifier expected.
../server/routes-broken.ts(1896,7): error TS1005: ';' expected.
../server/routes-broken.ts(1896,15): error TS1109: Expression expected.
../server/routes-broken.ts(1897,12): error TS1005: ';' expected.
../server/routes-broken.ts(1897,17): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1897,27): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1897,42): error TS1005: '(' expected.
../server/routes-broken.ts(1897,51): error TS1005: ')' expected.
../server/routes-broken.ts(1898,10): error TS1005: ';' expected.
../server/routes-broken.ts(1898,14): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1898,17): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1898,27): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1898,35): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1898,44): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1899,12): error TS1005: ';' expected.
../server/routes-broken.ts(1899,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1899,30): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1899,33): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1899,40): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1900,10): error TS1005: ';' expected.
../server/routes-broken.ts(1900,59): error TS1005: ',' expected.
../server/routes-broken.ts(1900,62): error TS1005: ',' expected.
../server/routes-broken.ts(1902,1): error TS1127: Invalid character.
../server/routes-broken.ts(1902,2): error TS1127: Invalid character.
../server/routes-broken.ts(1902,3): error TS1127: Invalid character.
../server/routes-broken.ts(1902,5): error TS1005: ';' expected.
../server/routes-broken.ts(1902,6): error TS1127: Invalid character.
../server/routes-broken.ts(1902,7): error TS1127: Invalid character.
../server/routes-broken.ts(1902,9): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,1): error TS1435: Unknown keyword or identifier. Did you mean 'this'?
../server/routes-broken.ts(1903,6): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,11): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,21): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,42): error TS1005: ';' expected.
../server/routes-broken.ts(1903,52): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,56): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,65): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,75): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,78): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,83): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,97): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,103): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,111): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1903,122): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1905,1): error TS1003: Identifier expected.
../server/routes-broken.ts(1905,7): error TS1005: ';' expected.
../server/routes-broken.ts(1905,15): error TS1109: Expression expected.
../server/routes-broken.ts(1906,12): error TS1005: ';' expected.
../server/routes-broken.ts(1906,34): error TS1005: ';' expected.
../server/routes-broken.ts(1907,10): error TS1005: ';' expected.
../server/routes-broken.ts(1907,29): error TS1005: ';' expected.
../server/routes-broken.ts(1907,35): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1907,39): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1908,12): error TS1005: ';' expected.
../server/routes-broken.ts(1908,30): error TS1005: '(' expected.
../server/routes-broken.ts(1908,42): error TS1005: ';' expected.
../server/routes-broken.ts(1908,52): error TS1005: ';' expected.
../server/routes-broken.ts(1909,11): error TS1005: ')' expected.
../server/routes-broken.ts(1909,22): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1909,36): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1909,43): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1911,1): error TS1127: Invalid character.
../server/routes-broken.ts(1911,2): error TS1127: Invalid character.
../server/routes-broken.ts(1911,3): error TS1127: Invalid character.
../server/routes-broken.ts(1911,5): error TS1005: ';' expected.
../server/routes-broken.ts(1911,6): error TS1127: Invalid character.
../server/routes-broken.ts(1911,7): error TS1127: Invalid character.
../server/routes-broken.ts(1911,34): error TS1005: ';' expected.
../server/routes-broken.ts(1912,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,3): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,8): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,14): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,19): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,25): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,31): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,35): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,38): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,46): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,51): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,62): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,67): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,76): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,86): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,91): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1912,95): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1914,1): error TS1003: Identifier expected.
../server/routes-broken.ts(1914,7): error TS1005: ';' expected.
../server/routes-broken.ts(1914,15): error TS1109: Expression expected.
../server/routes-broken.ts(1915,8): error TS1005: ';' expected.
../server/routes-broken.ts(1915,19): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1915,28): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1915,45): error TS1005: '(' expected.
../server/routes-broken.ts(1915,55): error TS1005: ')' expected.
../server/routes-broken.ts(1916,8): error TS1005: ';' expected.
../server/routes-broken.ts(1916,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1916,29): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1916,37): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1916,41): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1916,44): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1916,53): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1917,14): error TS1005: ';' expected.
../server/routes-broken.ts(1917,25): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1917,36): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1917,45): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1917,48): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1918,10): error TS1005: ';' expected.
../server/routes-broken.ts(1918,24): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1918,30): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1918,39): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1920,1): error TS1127: Invalid character.
../server/routes-broken.ts(1920,2): error TS1127: Invalid character.
../server/routes-broken.ts(1920,4): error TS1127: Invalid character.
../server/routes-broken.ts(1920,7): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1922,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1922,4): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1922,15): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1922,20): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1922,36): error TS1005: '(' expected.
../server/routes-broken.ts(1922,42): error TS1005: ';' expected.
../server/routes-broken.ts(1922,49): error TS1005: ';' expected.
../server/routes-broken.ts(1922,64): error TS1005: ')' expected.
../server/routes-broken.ts(1924,1): error TS17006: An unary expression with the '-' operator is not allowed in the left-hand side of an exponentiation expression. Consider enclosing the expression in parentheses.
../server/routes-broken.ts(1924,3): error TS1109: Expression expected.
../server/routes-broken.ts(1924,25): error TS1005: ';' expected.
../server/routes-broken.ts(1924,33): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1925,3): error TS1109: Expression expected.
../server/routes-broken.ts(1925,13): error TS1005: ';' expected.
../server/routes-broken.ts(1925,25): error TS1109: Expression expected.
../server/routes-broken.ts(1925,37): error TS1005: ';' expected.
../server/routes-broken.ts(1926,3): error TS1109: Expression expected.
../server/routes-broken.ts(1926,14): error TS1005: ';' expected.
../server/routes-broken.ts(1926,31): error TS1005: ';' expected.
../server/routes-broken.ts(1926,36): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1926,45): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1926,59): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1926,70): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1927,3): error TS1109: Expression expected.
../server/routes-broken.ts(1927,16): error TS1005: ';' expected.
../server/routes-broken.ts(1927,28): error TS1109: Expression expected.
../server/routes-broken.ts(1927,40): error TS1005: ';' expected.
../server/routes-broken.ts(1927,53): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1927,77): error TS1005: ';' expected.
../server/routes-broken.ts(1928,3): error TS1109: Expression expected.
../server/routes-broken.ts(1928,31): error TS1005: ';' expected.
../server/routes-broken.ts(1928,40): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1928,44): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1928,53): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1930,1): error TS1127: Invalid character.
../server/routes-broken.ts(1930,2): error TS1127: Invalid character.
../server/routes-broken.ts(1930,4): error TS1127: Invalid character.
../server/routes-broken.ts(1930,18): error TS1005: ';' expected.
../server/routes-broken.ts(1932,13): error TS1005: ';' expected.
../server/routes-broken.ts(1932,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1932,45): error TS1005: ';' expected.
../server/routes-broken.ts(1932,55): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1932,68): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1932,77): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1932,80): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1932,85): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1933,15): error TS1005: ';' expected.
../server/routes-broken.ts(1933,15): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1933,108): error TS1002: Unterminated string literal.
../server/routes-broken.ts(1934,13): error TS1005: ';' expected.
../server/routes-broken.ts(1934,37): error TS1005: ';' expected.
../server/routes-broken.ts(1934,47): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1934,60): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1934,71): error TS1005: '(' expected.
../server/routes-broken.ts(1934,76): error TS1005: ';' expected.
../server/routes-broken.ts(1934,86): error TS1005: ';' expected.
../server/routes-broken.ts(1935,1): error TS1005: ')' expected.
../server/routes-broken.ts(1935,12): error TS1005: ';' expected.
../server/routes-broken.ts(1935,36): error TS1005: ';' expected.
../server/routes-broken.ts(1935,42): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1935,48): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1935,52): error TS1435: Unknown keyword or identifier. Did you mean 'catch'?
../server/routes-broken.ts(1935,58): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1935,61): error TS1435: Unknown keyword or identifier. Did you mean 'let'?
../server/routes-broken.ts(1935,74): error TS1005: ';' expected.
../server/routes-broken.ts(1936,14): error TS1005: ';' expected.
../server/routes-broken.ts(1936,18): error TS1005: ';' expected.
../server/routes-broken.ts(1936,45): error TS1109: Expression expected.
../server/routes-broken.ts(1936,50): error TS1005: '(' expected.
../server/routes-broken.ts(1936,72): error TS1005: ')' expected.
../server/routes-broken.ts(1938,1): error TS1127: Invalid character.
../server/routes-broken.ts(1938,2): error TS1127: Invalid character.
../server/routes-broken.ts(1938,4): error TS1005: ';' expected.
../server/routes-broken.ts(1938,11): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1938,24): error TS1005: ';' expected.
../server/routes-broken.ts(1940,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,4): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,24): error TS1005: ';' expected.
../server/routes-broken.ts(1940,27): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,38): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,68): error TS1005: ';' expected.
../server/routes-broken.ts(1940,90): error TS1005: ';' expected.
../server/routes-broken.ts(1940,92): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,101): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,107): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,115): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,139): error TS1005: ';' expected.
../server/routes-broken.ts(1940,148): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,159): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,173): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,178): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,189): error TS1005: '(' expected.
../server/routes-broken.ts(1940,194): error TS1005: ')' expected.
../server/routes-broken.ts(1940,201): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1940,215): error TS1003: Identifier expected.
../server/routes-broken.ts(1942,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,10): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,15): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,22): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,34): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,40): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,47): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,60): error TS1005: ';' expected.
../server/routes-broken.ts(1942,77): error TS1005: ';' expected.
../server/routes-broken.ts(1942,84): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,94): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,97): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,102): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,128): error TS1005: ';' expected.
../server/routes-broken.ts(1942,138): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1942,149): error TS1435: Unknown keyword or identifier. Did you mean 'with'?
../server/routes-broken.ts(1942,156): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1944,12): error TS1005: ';' expected.
../server/routes-broken.ts(1944,26): error TS1443: Module declaration names may only use ' or " quoted strings.
../server/routes-broken.ts(1949,15): error TS1127: Invalid character.
../server/routes-broken.ts(1949,17): error TS1005: ';' expected.
../server/routes-broken.ts(1949,26): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1949,37): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1949,50): error TS1005: '(' expected.
../server/routes-broken.ts(1949,51): error TS1005: ';' expected.
../server/routes-broken.ts(1951,1): error TS1005: ';' expected.
../server/routes-broken.ts(1951,7): error TS1005: ')' expected.
../server/routes-broken.ts(1951,18): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,20): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,34): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,43): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,46): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,51): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,74): error TS1005: ';' expected.
../server/routes-broken.ts(1951,155): error TS1005: ';' expected.
../server/routes-broken.ts(1951,157): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1951,160): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1953,1): error TS1127: Invalid character.
../server/routes-broken.ts(1953,2): error TS1127: Invalid character.
../server/routes-broken.ts(1953,4): error TS1005: ';' expected.
../server/routes-broken.ts(1953,7): error TS1005: ';' expected.
../server/routes-broken.ts(1953,20): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1953,35): error TS1127: Invalid character.
../server/routes-broken.ts(1955,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,6): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,29): error TS1005: ';' expected.
../server/routes-broken.ts(1955,51): error TS1005: ';' expected.
../server/routes-broken.ts(1955,65): error TS1005: ';' expected.
../server/routes-broken.ts(1955,70): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,81): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,85): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,92): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,105): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,112): error TS1435: Unknown keyword or identifier. Did you mean 'var ious'?
../server/routes-broken.ts(1955,137): error TS1005: ';' expected.
../server/routes-broken.ts(1955,179): error TS1005: ';' expected.
../server/routes-broken.ts(1955,195): error TS1005: ';' expected.
../server/routes-broken.ts(1955,211): error TS1005: ';' expected.
../server/routes-broken.ts(1955,216): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,220): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,230): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,233): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,243): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,248): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,261): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1955,265): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1957,1): error TS1003: Identifier expected.
../server/routes-broken.ts(1957,7): error TS1005: ';' expected.
../server/routes-broken.ts(1957,27): error TS1109: Expression expected.
../server/routes-broken.ts(1958,13): error TS1005: ';' expected.
../server/routes-broken.ts(1958,22): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1959,8): error TS1005: ';' expected.
../server/routes-broken.ts(1959,19): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1960,15): error TS1005: ';' expected.
../server/routes-broken.ts(1961,11): error TS1005: ';' expected.
../server/routes-broken.ts(1962,8): error TS1005: ';' expected.
../server/routes-broken.ts(1962,17): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1962,21): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1964,1): error TS1127: Invalid character.
../server/routes-broken.ts(1964,2): error TS1127: Invalid character.
../server/routes-broken.ts(1964,4): error TS1005: ';' expected.
../server/routes-broken.ts(1964,7): error TS1005: ';' expected.
../server/routes-broken.ts(1964,25): error TS1127: Invalid character.
../server/routes-broken.ts(1966,1): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1966,7): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1966,10): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1966,30): error TS1005: ';' expected.
../server/routes-broken.ts(1966,41): error TS1434: Unexpected keyword or identifier.
../server/routes-broken.ts(1966,46): error TS1434: Unexpected keyword or identifier.
